id,received_at_utc,database,file,hunters,dracula,winner_side,winner_players,loser_players,influence,dracula_health,dracula_max_health,days_completed,score,game_type,advanced_rules,house_rules,mod_house_rules,has_ai,save_version,mod_version,config_code,identifier,log_sha256,ended_at_utc,action_count
20260917T223538Z-1bc8bb01,2026-09-17T22:35:38.597Z,casual,Lordgodalming_Drjohnseward_Vanhelsing_Minaharker_Vs_Rtowin_2026-09-17_22-35-38.fod,Lord Godalming & Dr. John Seward & Van Helsing & Mina Harker,RToWin,Hunters,Lord Godalming & Dr. John Seward & Van Helsing & Mina Harker,RToWin,0,0,15,1,-15,Local,Power cards: all; Free placement; Rumour tokens; Lairs,Dark Call draws an event card; Trail slides before Dracula moves,Dracula starting damage 10; Dark Call damage 5,true,40,0.50.0,0C818D,032c5cf7-1ab9-497d-a9f0-5ec799e6d437,9f0131c0fe99210e55adcfa51b207aea41dc9275dce2fe0839427ccf5523bb16,2026-09-17T22:35:27Z,25
20260918T005007Z-869a14da,2026-09-18T00:50:07.659Z,casual,Lordgodalming_Drjohnseward_Vanhelsing_Minaharker_Vs_Rtowin_2026-09-18_00-50-07.fod,Lord Godalming & Dr. John Seward & Van Helsing & Mina Harker,RToWin,Dracula,RToWin,Lord Godalming & Dr. John Seward & Van Helsing & Mina Harker,13,12,15,14,10,Local,Power cards: all; Free placement; Rumour tokens; Lairs,Dark Call draws an event card; Trail slides before Dracula moves,Dracula starting damage 10; Dark Call damage 5,true,40,0.51.0,A28F5B,974ff960-70a9-462a-8f58-ca2f59d84c74,1d2adf9e00c9ba5a53780dfc21caa478546df2e1d3413229e4988d7ca3a94aa9,2026-09-18T00:50:04Z,627
20260918T102604Z-8f183055,2026-09-18T10:26:04.840Z,casual,Lordgodalming_Drjohnseward_Vanhelsing_Minaharker_Vs_Rtowin_2026-09-18_10-26-04.fod,Lord Godalming & Dr. John Seward & Van Helsing & Mina Harker,RToWin,Hunters,Lord Godalming & Dr. John Seward & Van Helsing & Mina Harker,RToWin,0,0,15,1,-15,Local,Power cards: all; Free placement; Rumour tokens; Lairs,Dark Call draws an event card; Trail slides before Dracula moves,Dracula starting damage 10; Dark Call damage 5,true,40,0.51.0,A28F5B,7e425e6e-334d-412e-b374-bee411328160,9cc0b6be5624304a73a19477220c190c21360d8d5bd87711d5f353d274f8a847,2026-09-18T10:26:02Z,25
20260918T103534Z-1e4f20ea,2026-09-18T10:35:34.439Z,casual,Lordgodalming_Drjohnseward_Vanhelsing_Minaharker_Vs_Rtowin_2026-09-18_10-35-34.fod,Lord Godalming & Dr. John Seward & Van Helsing & Mina Harker,RToWin,Hunters,Lord Godalming & Dr. John Seward & Van Helsing & Mina Harker,RToWin,0,0,15,1,-15,Local,Power cards: all; Free placement; Rumour tokens; Lairs,Dark Call draws an event card; Trail slides before Dracula moves,Dracula starting damage 10; Dark Call damage 5,true,40,0.51.0,A28F5B,08f4f54d-7ac8-49dd-b9fc-aac656933ef7,bc42a448755cf60fc9aa8896aac030ac3c66bbf7ad620a49781df1cda2522a22,2026-09-18T10:35:31Z,29
20260918T104637Z-f4290201,2026-09-18T10:46:37.416Z,casual,Lordgodalming_Drjohnseward_Vanhelsing_Minaharker_Vs_Rtowin_2026-09-18_10-46-37.fod,Lord Godalming & Dr. John Seward & Van Helsing & Mina Harker,RToWin,Hunters,Lord Godalming & Dr. John Seward & Van Helsing & Mina Harker,RToWin,0,0,15,1,-15,Local,Power cards: all; Free placement; Rumour tokens; Lairs,Dark Call draws an event card; Trail slides before Dracula moves,Dracula starting damage 10; Dark Call damage 5,true,40,0.51.0,A28F5B,53ada3c4-3cab-46d5-bf1c-212d2c6ce119,d7ac8ba5f45e1f367b57e5a42fc8d96a859d41426a1339c0a0af320c13563064,2026-09-18T10:46:34Z,24
20260918T105451Z-8889073e,2026-09-18T10:54:51.259Z,casual,Lordgodalming_Drjohnseward_Vanhelsing_Minaharker_Vs_Rtowin_2026-09-18_10-54-51.fod,Lord Godalming & Dr. John Seward & Van Helsing & Mina Harker,RToWin,Hunters,Lord Godalming & Dr. John Seward & Van Helsing & Mina Harker,RToWin,0,0,15,1,-15,Local,Power cards: all; Free placement; Rumour tokens; Lairs,Dark Call draws an event card; Trail slides before Dracula moves,Dracula starting damage 10; Dark Call damage 5,true,40,0.51.0,A28F5B,fc69bfd0-0110-436a-b60f-d0149f480d1a,d9b1fcebb6f92d359524b66112224bb61eccb74c34b80f3aef9dc07a6959ba57,2026-09-18T10:54:49Z,26
20260919T213131Z-f60e4d14,2026-09-19T21:31:31.423Z,casual,Andrezot_Vs_Rtowin_2026-09-19_21-31-31.fod,AndreZot,RToWin,Dracula,RToWin,AndreZot,13,5,15,16,3,Network,Power cards: all; Free placement; Rumour tokens; Lairs,Dark Call draws an event card; Trail slides before Dracula moves,,false,40,0.60.0,72ACA4,a9f40377-3b42-4b44-9a81-be3e6b3c6803,6b48bc2bd42d8b7f49e0d7eabc05008ac98841e890e2b437ef4d397fd279836c,2026-09-19T21:29:02Z,592
20260922T193454Z-06ad15a7,2026-09-22T19:34:54.574Z,casual,Xmarksthescot_Vs_Dracula_2026-09-22_19-34-54.fod,'X'MarksTheScot,Dracula,Hunters,'X'MarksTheScot,Dracula,6,0,15,16,-9,Local,Power cards: all; Free placement; Rumour tokens; Lairs,Trail slides before Dracula moves,Bites score influence; Manchester becomes Whitby; Sister Agatha damage 1; Long Night at dawn or dusk; Bitten hunters carry one ticket (Mina too); Great Strength only at your location; Advanced Dracula AI; Heroic Leap damage limited by your health; Dracula mulligans his opening hand; Dracula starts with an encounter; Rifle does not clear Rats; Galatz becomes a port; Customs Search on entering a land region; Empowered Devilish Power; Heavenly Host discarded against Great Wolf; Mini VL Blood Transfusion; Hired Scouts playable as an action; Heavenly Host discarded against Desecrated Soil; Matured Spy always discards tickets; Misdirect can target sea locations; Garlic Wreath only discarded by Claws,true,40,0.63.0,9A881B,a557ef8e-5089-4323-b643-98c59dae5b65,71d687d7a2412477f1900a1803363ca4f7734d9fa9144195716629312194e639,2026-09-22T19:34:47Z,687
20260923T184705Z-1f95b05f,2026-09-23T18:47:05.586Z,casual,Rtowinlots_Vs_Dracula_2026-09-23_18-47-05.fod,RToWinLots,Dracula,Hunters,RToWinLots,Dracula,2,0,15,9,-13,Local,Power cards: all; Free placement; Rumour tokens; Lairs,Trail slides before Dracula moves,Advanced Dracula AI,true,40,0.68.0,78E5DB,c42429d0-347c-4a53-a3c6-1ebcf9975228,b4dc22991df0d2d1b386b7ef071b57eba5d7822e5a62b8f16aff23c946eae83f,2026-09-23T18:47:01Z,518
20260924T194907Z-c5ea7216,2026-09-24T19:49:07.147Z,casual,Tarvalar_Vs_Rtowinlots_2026-09-24_19-49-07.fod,Tarvalar,RToWinLots,Dracula,RToWinLots,Tarvalar,13,7,15,18,5,Network,Power cards: all; Free placement; Rumour tokens; Lairs,Dark Call draws an event card; Dracula can't see the markers; Trail slides before Dracula moves,,false,40,0.69.2,E53A9F,8fba1b0d-a044-45c5-bb9a-4020bf845e8b,7b973c7ae533f58fbefe9b156ca0f0df7064b126de56e3f42ee6f3c6f30605ed,2026-09-24T19:49:00Z,768
